[pagamento.data_pagamento] [= [pagamento.data_noleggio]
[lingua.lingua_id] [= [attore.attore_id]
[lingua.lingua_id] [= [categoria.categoria_id]
[lingua.lingua_id] [= [cliente.cliente_id]
[lingua.lingua_id] [= [film.film_id]
[lingua.lingua_id] [= [film_attore.attore_id]
[lingua.lingua_id] [= [film_attore.film_id]
[lingua.lingua_id] [= [film_categoria.film_id]
[lingua.lingua_id] [= [film_categoria.categoria_id]
[lingua.lingua_id] [= [indirizzo.indirizzo_id]
[lingua.lingua_id] [= [indirizzo.città_id]
[lingua.lingua_id] [= [indirizzo.stato_id]
[lingua.lingua_id] [= [inventario.inventario_id]
[lingua.lingua_id] [= [inventario.film_id]
[lingua.lingua_id] [= [pagamento.pagamento_id]
[lingua.lingua_id] [= [pagamento.cliente_id]
[lingua.lingua_id] [= [pagamento.noleggio_id]
[film.lingua_id] [= [attore.attore_id]
[film.lingua_id] [= [categoria.categoria_id]
[film.lingua_id] [= [cliente.cliente_id]
[film.lingua_id] [= [cliente.negozio_id]
[film.lingua_id] [= [cliente.attivo]
[film.lingua_id] [= [film.film_id]
[film.lingua_id] [= [film_attore.attore_id]
[film.lingua_id] [= [film_attore.film_id]
[film.lingua_id] [= [film_categoria.film_id]
[film.lingua_id] [= [film_categoria.categoria_id]
[film.lingua_id] [= [indirizzo.indirizzo_id]
[film.lingua_id] [= [indirizzo.città_id]
[film.lingua_id] [= [indirizzo.stato_id]
[film.lingua_id] [= [inventario.inventario_id]
[film.lingua_id] [= [inventario.film_id]
[film.lingua_id] [= [inventario.negozio_id]
[film.lingua_id] [= [lingua.lingua_id]
[film.lingua_id] [= [negozio.negozio_id]
[film.lingua_id] [= [negozio.capo_personale_id]
[film.lingua_id] [= [negozio.indirizzo_id]
[film.lingua_id] [= [pagamento.pagamento_id]
[film.lingua_id] [= [pagamento.cliente_id]
[film.lingua_id] [= [pagamento.ppersonale_id]
[film.lingua_id] [= [pagamento.noleggio_id]
[film.lingua_id] [= [pagamento.inventario_id]
[film.lingua_id] [= [pagamento.npersonale_id]
[film.lingua_id] [= [personale.personale_id]
[film.lingua_id] [= [personale.negozio_id]
[film.lingua_id] [= [personale.attivo]
[categoria.categoria_id] [= [attore.attore_id]
[categoria.categoria_id] [= [cliente.cliente_id]
[categoria.categoria_id] [= [film.film_id]
[categoria.categoria_id] [= [film_attore.attore_id]
[categoria.categoria_id] [= [film_attore.film_id]
[categoria.categoria_id] [= [film_categoria.film_id]
[categoria.categoria_id] [= [film_categoria.categoria_id]
[categoria.categoria_id] [= [indirizzo.indirizzo_id]
[categoria.categoria_id] [= [indirizzo.città_id]
[categoria.categoria_id] [= [indirizzo.stato_id]
[categoria.categoria_id] [= [inventario.inventario_id]
[categoria.categoria_id] [= [pagamento.pagamento_id]
[categoria.categoria_id] [= [pagamento.cliente_id]
[categoria.categoria_id] [= [pagamento.noleggio_id]
[film.durata_noleggio] [= [attore.attore_id]
[film.durata_noleggio] [= [categoria.categoria_id]
[film.durata_noleggio] [= [cliente.cliente_id]
[film.durata_noleggio] [= [film.film_id]
[film.durata_noleggio] [= [film_attore.attore_id]
[film.durata_noleggio] [= [film_attore.film_id]
[film.durata_noleggio] [= [film_categoria.film_id]
[film.durata_noleggio] [= [film_categoria.categoria_id]
[film.durata_noleggio] [= [indirizzo.indirizzo_id]
[film.durata_noleggio] [= [indirizzo.città_id]
[film.durata_noleggio] [= [indirizzo.stato_id]
[film.durata_noleggio] [= [inventario.inventario_id]
[film.durata_noleggio] [= [inventario.film_id]
[film.durata_noleggio] [= [pagamento.pagamento_id]
[film.durata_noleggio] [= [pagamento.cliente_id]
[film.durata_noleggio] [= [pagamento.noleggio_id]
[film_categoria.categoria_id] [= [attore.attore_id]
[film_categoria.categoria_id] [= [categoria.categoria_id]
[film_categoria.categoria_id] [= [cliente.cliente_id]
[film_categoria.categoria_id] [= [film.film_id]
[film_categoria.categoria_id] [= [film_attore.attore_id]
[film_categoria.categoria_id] [= [film_attore.film_id]
[film_categoria.categoria_id] [= [film_categoria.film_id]
[film_categoria.categoria_id] [= [indirizzo.indirizzo_id]
[film_categoria.categoria_id] [= [indirizzo.città_id]
[film_categoria.categoria_id] [= [indirizzo.stato_id]
[film_categoria.categoria_id] [= [inventario.inventario_id]
[film_categoria.categoria_id] [= [pagamento.pagamento_id]
[film_categoria.categoria_id] [= [pagamento.cliente_id]
[film_categoria.categoria_id] [= [pagamento.noleggio_id]
[pagamento.npersonale_id] [= [attore.attore_id]
[pagamento.npersonale_id] [= [categoria.categoria_id]
[pagamento.npersonale_id] [= [cliente.cliente_id]
[pagamento.npersonale_id] [= [cliente.negozio_id]
[pagamento.npersonale_id] [= [film.film_id]
[pagamento.npersonale_id] [= [film_attore.attore_id]
[pagamento.npersonale_id] [= [film_attore.film_id]
[pagamento.npersonale_id] [= [film_categoria.film_id]
